tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	MinePump	MinePump	MinePump	MinePump
results/MinePump/	status	cputime (s)	walltime (s)	memory (MB)
spec1-5_product1	correct	0.646000	0.646000	0.000000
spec1-5_product10	correct	0.639000	0.639000	0.000000
spec1-5_product11	correct	1.294000	1.294000	0.000000
spec1-5_product12	correct	0.695000	0.695000	0.000000
spec1-5_product13	correct	0.638000	0.638000	0.000000
spec1-5_product14	correct	0.622000	0.622000	0.000000
spec1-5_product15	correct	1.301000	1.301000	0.000000
spec1-5_product16	correct	1.005000	1.005000	0.000000
spec1-5_product17	correct	0.607000	0.607000	0.000000
spec1-5_product18	correct	0.643000	0.643000	0.000000
spec1-5_product19	correct	1.306000	1.306000	0.000000
spec1-5_product2	correct	0.631000	0.631000	0.000000
spec1-5_product20	correct	0.721000	0.721000	0.000000
spec1-5_product21	correct	0.642000	0.642000	0.000000
spec1-5_product22	correct	0.612000	0.612000	0.000000
spec1-5_product23	correct	1.321000	1.321000	0.000000
spec1-5_product24	correct	0.698000	0.698000	0.000000
spec1-5_product25	correct	0.639000	0.639000	0.000000
spec1-5_product26	correct	0.625000	0.625000	0.000000
spec1-5_product27	correct	1.343000	1.343000	0.000000
spec1-5_product28	correct	0.717000	0.717000	0.000000
spec1-5_product29	correct	0.617000	0.617000	0.000000
spec1-5_product3	correct	1.330000	1.330000	0.000000
spec1-5_product30	correct	0.647000	0.647000	0.000000
spec1-5_product31	correct	1.357000	1.357000	0.000000
spec1-5_product32	correct	0.701000	0.701000	0.000000
spec1-5_product33	correct	0.589000	0.589000	0.000000
spec1-5_product34	correct	0.623000	0.623000	0.000000
spec1-5_product35	correct	1.191000	1.191000	0.000000
spec1-5_product36	correct	0.666000	0.666000	0.000000
spec1-5_product37	correct	0.594000	0.594000	0.000000
spec1-5_product38	correct	0.614000	0.614000	0.000000
spec1-5_product39	correct	1.267000	1.267000	0.000000
spec1-5_product4	correct	0.701000	0.701000	0.000000
spec1-5_product40	correct	0.659000	0.659000	0.000000
spec1-5_product41	correct	0.674000	0.674000	0.000000
spec1-5_product42	correct	0.692000	0.692000	0.000000
spec1-5_product43	correct	1.343000	1.343000	0.000000
spec1-5_product44	correct	0.731000	0.731000	0.000000
spec1-5_product45	correct	0.664000	0.664000	0.000000
spec1-5_product46	correct	0.653000	0.653000	0.000000
spec1-5_product47	correct	1.357000	1.357000	0.000000
spec1-5_product48	correct	0.687000	0.687000	0.000000
spec1-5_product49	correct	0.581000	0.581000	0.000000
spec1-5_product5	correct	0.625000	0.625000	0.000000
spec1-5_product50	correct	0.623000	0.623000	0.000000
spec1-5_product51	correct	1.238000	1.238000	0.000000
spec1-5_product52	correct	0.699000	0.699000	0.000000
spec1-5_product53	correct	0.612000	0.612000	0.000000
spec1-5_product54	correct	0.595000	0.595000	0.000000
spec1-5_product55	correct	1.281000	1.281000	0.000000
spec1-5_product56	correct	0.683000	0.683000	0.000000
spec1-5_product57	correct	6.504000	6.504000	0.000000
spec1-5_product58	correct	6.000000	6.000000	0.000000
spec1-5_product59	correct	5.714000	5.714000	0.000000
spec1-5_product6	correct	0.608000	0.608000	0.000000
spec1-5_product60	correct	5.884000	5.884000	0.000000
spec1-5_product61	correct	6.783000	6.783000	0.000000
spec1-5_product62	correct	6.508000	6.508000	0.000000
spec1-5_product63	correct	5.885000	5.885000	0.000000
spec1-5_product64	correct	5.679000	5.679000	0.000000
spec1-5_product7	correct	1.319000	1.319000	0.000000
spec1-5_product8	correct	0.667000	0.667000	0.000000
spec1-5_product9	correct	0.645000	0.645000	0.000000
