benchmark,expected,actual,time_s,result
spec1-5_product1,false,false,.67s,CORRECT
spec1-5_product10,false,false,.65s,CORRECT
spec1-5_product11,false,false,1.33s,CORRECT
spec1-5_product12,false,false,.72s,CORRECT
spec1-5_product13,false,false,.64s,CORRECT
spec1-5_product14,false,false,.75s,CORRECT
spec1-5_product15,false,false,1.33s,CORRECT
spec1-5_product16,false,false,.74s,CORRECT
spec1-5_product17,false,false,.65s,CORRECT
spec1-5_product18,false,false,.64s,CORRECT
spec1-5_product19,false,false,1.40s,CORRECT
spec1-5_product2,false,false,.64s,CORRECT
spec1-5_product20,false,false,.74s,CORRECT
spec1-5_product21,false,false,.66s,CORRECT
spec1-5_product22,false,false,.68s,CORRECT
spec1-5_product23,false,false,1.39s,CORRECT
spec1-5_product24,false,false,.73s,CORRECT
spec1-5_product25,false,false,.64s,CORRECT
spec1-5_product26,false,false,.66s,CORRECT
spec1-5_product27,false,false,1.39s,CORRECT
spec1-5_product28,false,false,.72s,CORRECT
spec1-5_product29,false,false,.65s,CORRECT
spec1-5_product3,false,false,1.37s,CORRECT
spec1-5_product30,false,false,.65s,CORRECT
spec1-5_product31,false,false,1.34s,CORRECT
spec1-5_product32,false,false,.72s,CORRECT
spec1-5_product33,false,false,.64s,CORRECT
spec1-5_product34,false,false,.66s,CORRECT
spec1-5_product35,false,false,1.28s,CORRECT
spec1-5_product36,false,false,.74s,CORRECT
spec1-5_product37,false,false,.65s,CORRECT
spec1-5_product38,false,false,.63s,CORRECT
spec1-5_product39,false,false,1.31s,CORRECT
spec1-5_product4,false,false,.75s,CORRECT
spec1-5_product40,false,false,.75s,CORRECT
spec1-5_product41,false,false,.69s,CORRECT
spec1-5_product42,false,false,.70s,CORRECT
spec1-5_product43,false,false,1.36s,CORRECT
spec1-5_product44,false,false,.73s,CORRECT
spec1-5_product45,false,false,.71s,CORRECT
spec1-5_product46,false,false,.70s,CORRECT
spec1-5_product47,false,false,1.40s,CORRECT
spec1-5_product48,false,false,.73s,CORRECT
spec1-5_product49,false,false,.64s,CORRECT
spec1-5_product5,false,false,.66s,CORRECT
spec1-5_product50,false,false,.65s,CORRECT
spec1-5_product51,false,false,1.31s,CORRECT
spec1-5_product52,false,false,.75s,CORRECT
spec1-5_product53,false,false,.65s,CORRECT
spec1-5_product54,false,false,.66s,CORRECT
spec1-5_product55,false,false,1.31s,CORRECT
spec1-5_product56,false,false,.74s,CORRECT
spec1-5_product57,true,true,6.55s,CORRECT
spec1-5_product58,true,true,6.86s,CORRECT
spec1-5_product59,true,true,6.53s,CORRECT
spec1-5_product6,false,false,.66s,CORRECT
spec1-5_product60,true,true,5.79s,CORRECT
spec1-5_product61,true,true,6.63s,CORRECT
spec1-5_product62,true,true,6.60s,CORRECT
spec1-5_product63,true,true,5.91s,CORRECT
spec1-5_product64,true,true,6.01s,CORRECT
spec1-5_product7,false,false,1.34s,CORRECT
spec1-5_product8,false,false,.75s,CORRECT
spec1-5_product9,false,false,.68s,CORRECT
