New sym int e21882 min=-2147483648, max=2147483647
New sym int e21883 min=-2147483648, max=2147483647
New sym int e21884 min=-2147483648, max=2147483647
New sym int e21885 min=-2147483648, max=2147483647
New sym int e21886 min=-2147483648, max=2147483647
New sym int e21887 min=-2147483648, max=2147483647
New sym int e21888 min=-2147483648, max=2147483647
New sym int e21889 min=-2147483648, max=2147483647
New sym int e21890 min=-2147483648, max=2147483647
New sym int e21891 min=-2147483648, max=2147483647
New sym int e21892 min=-2147483648, max=2147483647
New sym int e21893 min=-2147483648, max=2147483647
New sym int e21894 min=-2147483648, max=2147483647
New sym int e21895 min=-2147483648, max=2147483647
New sym int e21896 min=-2147483648, max=2147483647
New sym int e21897 min=-2147483648, max=2147483647
New sym int e21898 min=-2147483648, max=2147483647
New sym int e21899 min=-2147483648, max=2147483647
New sym int e21900 min=-2147483648, max=2147483647
New sym int e21901 min=-2147483648, max=2147483647
New sym int e21902 min=-2147483648, max=2147483647
New sym int e21903 min=-2147483648, max=2147483647
New sym int e21904 min=-2147483648, max=2147483647
New sym int e21905 min=-2147483648, max=2147483647
New sym int e21906 min=-2147483648, max=2147483647
New sym int e21907 min=-2147483648, max=2147483647
New sym int e21908 min=-2147483648, max=2147483647
New sym int e21909 min=-2147483648, max=2147483647
New sym int e21910 min=-2147483648, max=2147483647
New sym int e21911 min=-2147483648, max=2147483647
New sym int e21912 min=-2147483648, max=2147483647
New sym int e21913 min=-2147483648, max=2147483647
New sym int e21914 min=-2147483648, max=2147483647
New sym int e21915 min=-2147483648, max=2147483647
New sym int e21916 min=-2147483648, max=2147483647
New sym int e21917 min=-2147483648, max=2147483647
New sym int e21918 min=-2147483648, max=2147483647
New sym int e21919 min=-2147483648, max=2147483647
New sym int e21920 min=-2147483648, max=2147483647
New sym int e21921 min=-2147483648, max=2147483647
New sym int e21922 min=-2147483648, max=2147483647
New sym int e21923 min=-2147483648, max=2147483647
New sym int e21924 min=-2147483648, max=2147483647
New sym int e21925 min=-2147483648, max=2147483647
New sym int e21926 min=-2147483648, max=2147483647
New sym int e21927 min=-2147483648, max=2147483647
New sym int e21928 min=-2147483648, max=2147483647
New sym int e21929 min=-2147483648, max=2147483647
New sym int e21930 min=-2147483648, max=2147483647
New sym int e21931 min=-2147483648, max=2147483647
New sym int e21932 min=-2147483648, max=2147483647
New sym int e21933 min=-2147483648, max=2147483647
New sym int e21934 min=-2147483648, max=2147483647
New sym int e21935 min=-2147483648, max=2147483647
New sym int e21936 min=-2147483648, max=2147483647
New sym int e21937 min=-2147483648, max=2147483647
New sym int e21938 min=-2147483648, max=2147483647
New sym int e21939 min=-2147483648, max=2147483647
New sym int e21940 min=-2147483648, max=2147483647
New sym int e21941 min=-2147483648, max=2147483647
New sym int e21942 min=-2147483648, max=2147483647
New sym int e21943 min=-2147483648, max=2147483647
New sym int e21944 min=-2147483648, max=2147483647
New sym int e21945 min=-2147483648, max=2147483647
New sym int e21946 min=-2147483648, max=2147483647
New sym int e21947 min=-2147483648, max=2147483647
New sym int e21948 min=-2147483648, max=2147483647
New sym int e21949 min=-2147483648, max=2147483647
New sym int e21950 min=-2147483648, max=2147483647
New sym int e21951 min=-2147483648, max=2147483647
New sym int e21952 min=-2147483648, max=2147483647
New sym int e21953 min=-2147483648, max=2147483647
New sym int e21954 min=-2147483648, max=2147483647
New sym int e21955 min=-2147483648, max=2147483647
New sym int e21956 min=-2147483648, max=2147483647
New sym int e21957 min=-2147483648, max=2147483647
New sym int e21958 min=-2147483648, max=2147483647
New sym int e21959 min=-2147483648, max=2147483647
New sym int e21960 min=-2147483648, max=2147483647
New sym int e21961 min=-2147483648, max=2147483647
New sym int e21962 min=-2147483648, max=2147483647
New sym int e21963 min=-2147483648, max=2147483647
New sym int e21964 min=-2147483648, max=2147483647
New sym int e21965 min=-2147483648, max=2147483647
New sym int e21966 min=-2147483648, max=2147483647
New sym int e21967 min=-2147483648, max=2147483647
New sym int e21968 min=-2147483648, max=2147483647
New sym int e21969 min=-2147483648, max=2147483647
New sym int e21970 min=-2147483648, max=2147483647
New sym int e21971 min=-2147483648, max=2147483647
New sym int e21972 min=-2147483648, max=2147483647
New sym int e21973 min=-2147483648, max=2147483647
New sym int e21974 min=-2147483648, max=2147483647
New sym int e21975 min=-2147483648, max=2147483647
New sym int e21976 min=-2147483648, max=2147483647
New sym int e21977 min=-2147483648, max=2147483647
New sym int e21978 min=-2147483648, max=2147483647
New sym int e21979 min=-2147483648, max=2147483647
