benchmark,expected,actual,time_s,result
BellmanFord-FunSat01,true,true,.64s,CORRECT
BellmanFord-FunSat02,false,UNKNOWN,.55s,UNKNOWN
BellmanFord-FunUnsat01,false,true,.65s,INCORRECT
BellmanFord-FunUnsat02,false,UNKNOWN,.58s,UNKNOWN
BellmanFord-MemSat01,true,true,.67s,CORRECT
BellmanFord-MemSat02,true,UNKNOWN,.54s,UNKNOWN
BellmanFord-MemUnsat01,false,true,.65s,INCORRECT
BellmanFord-MemUnsat02,false,UNKNOWN,.54s,UNKNOWN
BinaryTreeSearch-FunSat01,true,true,2.94s,CORRECT
BinaryTreeSearch-FunUnsat01,false,false,.76s,CORRECT
BinaryTreeSearch-MemSat01,true,true,4.64s,CORRECT
BinaryTreeSearch-MemUnsat01,false,false,.69s,CORRECT
BinaryTreeSearch-MemUnsat02,false,false,.64s,CORRECT
InsertionSort-FunSat01,true,true,.64s,CORRECT
InsertionSort-FunSat02,true,true,.62s,CORRECT
InsertionSort-FunUnsat01,false,true,.67s,INCORRECT
InsertionSort-MemSat01,true,true,.66s,CORRECT
InsertionSort-MemUnsat01,false,UNKNOWN,.68s,UNKNOWN
MergeSortIterative-FunSat01,true,true,.62s,CORRECT
MergeSortIterative-FunSat02,true,true,.62s,CORRECT
MergeSortIterative-FunUnsat01,false,true,.66s,INCORRECT
MergeSortIterative-MemSat01,false,true,.62s,INCORRECT
MergeSortIterative-MemUnsat01,false,true,.65s,INCORRECT
RedBlackTree-FunSat01,true,true,.86s,CORRECT
RedBlackTree-FunUnsat01,false,false,.75s,CORRECT
RedBlackTree-MemSat01,true,true,3.44s,CORRECT
RedBlackTree-MemUnsat01,false,UNKNOWN,1.09s,UNKNOWN
SortedListInsert-FunSat01,true,true,3.38s,CORRECT
SortedListInsert-FunSat02,true,true,4.98s,CORRECT
SortedListInsert-FunUnsat01,false,false,.94s,CORRECT
SortedListInsert-MemSat01,true,true,1.98s,CORRECT
SortedListInsert-MemUnsat01,false,false,.56s,CORRECT
Trie-FunSat01,true,true,.57s,CORRECT
Trie-FunUnsat01,false,false,.64s,CORRECT
Trie-MemSat01,true,true,.55s,CORRECT
Trie-MemUnsat01,false,false,.67s,CORRECT
Tsp-FunSat01,false,UNKNOWN,.54s,UNKNOWN
Tsp-FunUnsat01,false,UNKNOWN,.55s,UNKNOWN
Tsp-MemSat01,true,UNKNOWN,.57s,UNKNOWN
Tsp-MemUnsat01,false,UNKNOWN,.55s,UNKNOWN
