benchmark,expected,actual,time_s,result
AbstractChart_exceptionless,true,true,.54s,CORRECT
AbstractChart_exceptionprone,false,true,.52s,INCORRECT
AbstractSerializationStreamReader_false,false,UNKNOWN,.47s,UNKNOWN
AbstractSerializationStreamReader_true,false,UNKNOWN,.47s,UNKNOWN
AccelerometerListener_false,false,true,.55s,INCORRECT
AccelerometerListener_true,true,true,.52s,CORRECT
ActiveCheck,true,timeout,60,TIMEOUT
AlbersProjection_false,false,UNKNOWN,1.32s,UNKNOWN
AlbersProjection_true,true,UNKNOWN,1.20s,UNKNOWN
Base,true,true,.99s,CORRECT
Base64,true,true,.68s,CORRECT
BufferedBlockCipher,true,UNKNOWN,.71s,UNKNOWN
Constant_false,false,true,.55s,INCORRECT
Constant_false2,false,true,.60s,INCORRECT
Constant_true,true,true,.56s,CORRECT
CorrelationUtils_exceptionless,true,UNKNOWN,.57s,UNKNOWN
CorrelationUtils_exceptionprone,false,UNKNOWN,.64s,UNKNOWN
CustomViewAbove,true,true,.70s,CORRECT
DiskBasedCache,false,true,.52s,INCORRECT
DistinguishedNameParser,false,UNKNOWN,5.15s,UNKNOWN
EquidistantConicProjection_false,false,true,.52s,INCORRECT
EquidistantConicProjection_true,true,true,.53s,CORRECT
FractalTouchHandler_false,false,true,.52s,INCORRECT
FractalTouchHandler_true,true,true,.52s,CORRECT
GaussianGenerator_exceptionless,true,true,.53s,CORRECT
GaussianGenerator_exceptionprone,false,true,.52s,INCORRECT
GraphFragment_false,false,true,.54s,INCORRECT
GraphFragment_true,true,true,.53s,CORRECT
HPack,true,true,.67s,CORRECT
HebrewDate,true,timeout,60,TIMEOUT
HighlightView_false,false,false,.67s,CORRECT
HighlightView_true,true,true,1.04s,CORRECT
HotspotIntegerGenerator_false,false,true,.53s,INCORRECT
HotspotIntegerGenerator_true,true,true,.52s,CORRECT
HttpConnectionHandler,true,true,3.32s,CORRECT
HttpTransport_false,false,false,.68s,CORRECT
HttpTransport_true,true,true,.63s,CORRECT
ImageRequest,true,true,.57s,CORRECT
JobsExample,false,UNKNOWN,.47s,UNKNOWN
MathHelper_false,false,true,.53s,INCORRECT
MathHelper_true,false,true,.53s,INCORRECT
Pan_exceptionless,true,true,.65s,CORRECT
Pan_exceptionprone,false,UNKNOWN,.66s,UNKNOWN
PieSegment_false,false,true,.53s,INCORRECT
PieSegment_true,true,true,.57s,CORRECT
Piecewise_false,false,true,.53s,INCORRECT
Piecewise_true,true,true,.53s,CORRECT
ProjectionGridRoundTripper_exceptionless,true,true,.67s,CORRECT
ProjectionGridRoundTripper_exceptionprone,false,UNKNOWN,.48s,UNKNOWN
ProjectionMath_exceptionless,true,true,.52s,CORRECT
ProjectionMath_exceptionprone,false,true,.52s,INCORRECT
ReverseInterpolator_false,false,true,.52s,INCORRECT
ReverseInterpolator_false2,false,true,.52s,INCORRECT
ReverseInterpolator_true,true,true,.52s,CORRECT
SpdyStream,false,false,.69s,CORRECT
StdAudio_exceptionless,true,true,.52s,CORRECT
StdAudio_exceptionprone,false,true,.53s,INCORRECT
StdRandom_exceptionless,true,true,.52s,CORRECT
StdRandom_exceptionprone,false,true,.52s,INCORRECT
StrictLineReader,true,UNKNOWN,.61s,UNKNOWN
SunTimes_false,false,true,.54s,INCORRECT
SunTimes_true,true,true,.52s,CORRECT
TallyCounts_false,false,false,.62s,CORRECT
TallyCounts_true,true,UNKNOWN,.54s,UNKNOWN
TimeChart,true,true,.57s,CORRECT
TouchPadView,true,true,.63s,CORRECT
VelocityTracker_false,false,false,.66s,CORRECT
VelocityTracker_true,true,true,.54s,CORRECT
WeibullGenerator_exceptionless,true,true,.52s,CORRECT
WeibullGenerator_exceptionprone,false,true,.53s,INCORRECT
