tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
Boolean_public_boolean_java_lang_Boolean_booleanValue	unknown	0.528000	0.528000	0.000000
Boolean_public_int_java_lang_Boolean_compareTo_java_lang_Boolean	unknown	0.522000	0.522000	0.000000
Boolean_public_java_lang_String_java_lang_Boolean_toString	unknown	0.529000	0.529000	0.000000
Boolean_public_static_boolean_java_lang_Boolean_logicalAnd_boolean_boolean	unknown	0.518000	0.518000	0.000000
Boolean_public_static_boolean_java_lang_Boolean_logicalOr_boolean_boolean	unknown	0.527000	0.527000	0.000000
Boolean_public_static_boolean_java_lang_Boolean_logicalXor_boolean_boolean	unknown	0.530000	0.530000	0.000000
Boolean_public_static_int_java_lang_Boolean_compare_boolean_boolean	unknown	0.516000	0.516000	0.000000
Boolean_public_static_java_lang_Boolean_java_lang_Boolean_valueOf_boolean	unknown	0.500000	0.500000	0.000000
Boolean_public_static_java_lang_String_java_lang_Boolean_toString_boolean	unknown	0.514000	0.514000	0.000000
Byte_public_byte_java_lang_Byte_byteValue	unknown	0.504000	0.504000	0.000000
Byte_public_double_java_lang_Byte_doubleValue	unknown	0.525000	0.525000	0.000000
Byte_public_float_java_lang_Byte_floatValue	unknown	0.589000	0.589000	0.000000
Byte_public_int_java_lang_Byte_compareTo_java_lang_Byte	unknown	0.504000	0.504000	0.000000
Byte_public_int_java_lang_Byte_intValue	unknown	0.520000	0.520000	0.000000
Byte_public_java_lang_String_java_lang_Byte_toString	unknown	0.505000	0.505000	0.000000
Byte_public_long_java_lang_Byte_longValue	unknown	0.502000	0.502000	0.000000
Byte_public_short_java_lang_Byte_shortValue	unknown	0.522000	0.522000	0.000000
Byte_public_static_int_java_lang_Byte_compare_byte_byte	unknown	0.496000	0.496000	0.000000
Byte_public_static_int_java_lang_Byte_toUnsignedInt_byte	unknown	0.506000	0.506000	0.000000
Byte_public_static_java_lang_Byte_java_lang_Byte_valueOf_byte	unknown	0.514000	0.514000	0.000000
Byte_public_static_java_lang_String_java_lang_Byte_toString_byte	unknown	0.501000	0.501000	0.000000
Byte_public_static_long_java_lang_Byte_toUnsignedLong_byte	unknown	0.503000	0.503000	0.000000
Character_public_char_java_lang_Character_charValue	unknown	0.512000	0.512000	0.000000
Character_public_int_java_lang_Character_compareTo_java_lang_Character	unknown	0.497000	0.497000	0.000000
Character_public_java_lang_String_java_lang_Character_toString	unknown	0.489000	0.489000	0.000000
Character_public_static_boolean_java_lang_Character_isAlphabetic_int	unknown	0.515000	0.515000	0.000000
Character_public_static_boolean_java_lang_Character_isBmpCodePoint_int	unknown	0.524000	0.524000	0.000000
Character_public_static_boolean_java_lang_Character_isDefined_int	unknown	0.522000	0.522000	0.000000
Character_public_static_boolean_java_lang_Character_isDigit_char	unknown	0.498000	0.498000	0.000000
Character_public_static_boolean_java_lang_Character_isDigit_int	unknown	0.531000	0.531000	0.000000
Character_public_static_boolean_java_lang_Character_isISOControl_int	unknown	0.502000	0.502000	0.000000
Character_public_static_boolean_java_lang_Character_isIdentifierIgnorable_int	unknown	0.519000	0.519000	0.000000
Character_public_static_boolean_java_lang_Character_isIdeographic_int	unknown	0.546000	0.546000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_char	unknown	0.524000	0.524000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_int	unknown	0.517000	0.517000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_char	unknown	0.506000	0.506000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_int	unknown	0.523000	0.523000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaLetterOrDigit_char	unknown	0.492000	0.492000	0.000000
Character_public_static_boolean_java_lang_Character_isJavaLetter_char	unknown	0.501000	0.501000	0.000000
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_char	unknown	0.506000	0.506000	0.000000
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_int	unknown	0.522000	0.522000	0.000000
Character_public_static_boolean_java_lang_Character_isLetter_char	unknown	0.495000	0.495000	0.000000
Character_public_static_boolean_java_lang_Character_isLetter_int	unknown	0.513000	0.513000	0.000000
Character_public_static_boolean_java_lang_Character_isLowerCase_char	unknown	0.512000	0.512000	0.000000
Character_public_static_boolean_java_lang_Character_isLowerCase_int	unknown	0.519000	0.519000	0.000000
Character_public_static_boolean_java_lang_Character_isMirrored_char	unknown	0.506000	0.506000	0.000000
Character_public_static_boolean_java_lang_Character_isMirrored_int	unknown	0.527000	0.527000	0.000000
Character_public_static_boolean_java_lang_Character_isSpaceChar_char	unknown	0.508000	0.508000	0.000000
Character_public_static_boolean_java_lang_Character_isSpaceChar_int	unknown	0.513000	0.513000	0.000000
Character_public_static_boolean_java_lang_Character_isSpace_char	unknown	0.520000	0.520000	0.000000
Character_public_static_boolean_java_lang_Character_isSupplementaryCodePoint_int	unknown	0.540000	0.540000	0.000000
Character_public_static_boolean_java_lang_Character_isTitleCase_int	unknown	0.522000	0.522000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierPart_char	unknown	0.509000	0.509000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierPart_int	unknown	0.524000	0.524000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierStart_char	unknown	0.510000	0.510000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierStart_int	unknown	0.517000	0.517000	0.000000
Character_public_static_boolean_java_lang_Character_isUpperCase_char	unknown	0.507000	0.507000	0.000000
Character_public_static_boolean_java_lang_Character_isUpperCase_int	unknown	0.528000	0.528000	0.000000
Character_public_static_boolean_java_lang_Character_isValidCodePoint_int	unknown	0.540000	0.540000	0.000000
Character_public_static_boolean_java_lang_Character_isWhitespace_char	unknown	0.526000	0.526000	0.000000
Character_public_static_boolean_java_lang_Character_isWhitespace_int	unknown	0.515000	0.515000	0.000000
Character_public_static_byte_java_lang_Character_getDirectionality_char	unknown	0.510000	0.510000	0.000000
Character_public_static_byte_java_lang_Character_getDirectionality_int	unknown	0.526000	0.526000	0.000000
Character_public_static_char_java_lang_Character_forDigit_int_int	unknown	0.516000	0.516000	0.000000
Character_public_static_char_java_lang_Character_toLowerCase_char	unknown	0.526000	0.526000	0.000000
Character_public_static_char_java_lang_Character_toTitleCase_char	unknown	0.523000	0.523000	0.000000
Character_public_static_char_java_lang_Character_toUpperCase_char	unknown	0.507000	0.507000	0.000000
Character_public_static_int_java_lang_Character_charCount_int	unknown	0.520000	0.520000	0.000000
Character_public_static_int_java_lang_Character_compare_char_char	unknown	0.506000	0.506000	0.000000
Character_public_static_int_java_lang_Character_digit_char_int	unknown	0.515000	0.515000	0.000000
