benchmark,expected,actual,time_s,result
Boolean_public_boolean_java_lang_Boolean_booleanValue,false,UNKNOWN,.52s,UNKNOWN
Boolean_public_int_java_lang_Boolean_compareTo_java_lang_Boolean,false,UNKNOWN,.50s,UNKNOWN
Boolean_public_java_lang_String_java_lang_Boolean_toString,false,UNKNOWN,.50s,UNKNOWN
Boolean_public_static_boolean_java_lang_Boolean_logicalAnd_boolean_boolean,false,UNKNOWN,.48s,UNKNOWN
Boolean_public_static_boolean_java_lang_Boolean_logicalOr_boolean_boolean,false,UNKNOWN,.50s,UNKNOWN
Boolean_public_static_boolean_java_lang_Boolean_logicalXor_boolean_boolean,false,UNKNOWN,.50s,UNKNOWN
Boolean_public_static_int_java_lang_Boolean_compare_boolean_boolean,false,UNKNOWN,.49s,UNKNOWN
Boolean_public_static_java_lang_Boolean_java_lang_Boolean_valueOf_boolean,false,UNKNOWN,.49s,UNKNOWN
Boolean_public_static_java_lang_String_java_lang_Boolean_toString_boolean,false,UNKNOWN,.50s,UNKNOWN
Byte_public_byte_java_lang_Byte_byteValue,false,UNKNOWN,.48s,UNKNOWN
Byte_public_double_java_lang_Byte_doubleValue,false,UNKNOWN,.50s,UNKNOWN
Byte_public_float_java_lang_Byte_floatValue,false,UNKNOWN,.48s,UNKNOWN
Byte_public_int_java_lang_Byte_compareTo_java_lang_Byte,false,UNKNOWN,.48s,UNKNOWN
Byte_public_int_java_lang_Byte_intValue,false,UNKNOWN,.49s,UNKNOWN
Byte_public_java_lang_String_java_lang_Byte_toString,false,UNKNOWN,.49s,UNKNOWN
Byte_public_long_java_lang_Byte_longValue,false,UNKNOWN,.49s,UNKNOWN
Byte_public_short_java_lang_Byte_shortValue,false,UNKNOWN,.48s,UNKNOWN
Byte_public_static_int_java_lang_Byte_compare_byte_byte,false,UNKNOWN,.50s,UNKNOWN
Byte_public_static_int_java_lang_Byte_toUnsignedInt_byte,false,UNKNOWN,.49s,UNKNOWN
Byte_public_static_java_lang_Byte_java_lang_Byte_valueOf_byte,false,UNKNOWN,.49s,UNKNOWN
Byte_public_static_java_lang_String_java_lang_Byte_toString_byte,false,UNKNOWN,.48s,UNKNOWN
Byte_public_static_long_java_lang_Byte_toUnsignedLong_byte,false,UNKNOWN,.49s,UNKNOWN
Character_public_char_java_lang_Character_charValue,false,UNKNOWN,.49s,UNKNOWN
Character_public_int_java_lang_Character_compareTo_java_lang_Character,false,UNKNOWN,.61s,UNKNOWN
Character_public_java_lang_String_java_lang_Character_toString,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isAlphabetic_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isBmpCodePoint_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isDefined_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isDigit_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isDigit_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isISOControl_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isIdentifierIgnorable_int,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isIdeographic_int,false,UNKNOWN,.51s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaIdentifierPart_int,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaIdentifierStart_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaLetterOrDigit_char,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isJavaLetter_char,false,UNKNOWN,.49s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_int,false,UNKNOWN,.50s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isLetter_char,false,UNKNOWN,.48s,UNKNOWN
Character_public_static_boolean_java_lang_Character_isLetter_int,false,UNKNOWN,.49s,UNKNOWN
