tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	float-nonlinear-calculation	float-nonlinear-calculation	float-nonlinear-calculation	float-nonlinear-calculation
results/float-nonlinear-calculation/	status	cputime (s)	walltime (s)	memory (MB)
Bessel	correct	0.510000	0.510000	0.000000
Conflict	correct	0.506000	0.506000	0.000000
EulerMethod	incorrect	0.645000	0.645000	0.000000
MathSin	unknown	0.475000	0.475000	0.000000
Optimization1	unknown	0.493000	0.493000	0.000000
Optimization2	unknown	0.511000	0.511000	0.000000
Optimization3	incorrect	0.504000	0.504000	0.000000
Optimization4	unknown	0.514000	0.514000	0.000000
Optimization5	unknown	0.521000	0.521000	0.000000
Optimization6	unknown	0.515000	0.515000	0.000000
PartitionEx	correct	0.519000	0.519000	0.000000
TurnLogic	correct	0.468000	0.468000	0.000000
coral1	unknown	0.535000	0.535000	0.000000
coral10	unknown	0.509000	0.509000	0.000000
coral11	unknown	0.498000	0.498000	0.000000
coral12	unknown	0.549000	0.549000	0.000000
coral13	unknown	0.495000	0.495000	0.000000
coral14	unknown	0.501000	0.501000	0.000000
coral15	unknown	0.517000	0.517000	0.000000
coral16	incorrect	0.508000	0.508000	0.000000
coral17	unknown	0.505000	0.505000	0.000000
coral18	unknown	0.525000	0.525000	0.000000
coral19	unknown	0.503000	0.503000	0.000000
coral2	unknown	0.499000	0.499000	0.000000
coral20	unknown	0.519000	0.519000	0.000000
coral21	unknown	0.515000	0.515000	0.000000
coral22	unknown	0.518000	0.518000	0.000000
coral23	correct	0.507000	0.507000	0.000000
coral26	correct	0.521000	0.521000	0.000000
coral27	unknown	0.496000	0.496000	0.000000
coral28	unknown	0.502000	0.502000	0.000000
coral29	unknown	0.503000	0.503000	0.000000
coral3	correct	0.501000	0.501000	0.000000
coral30	unknown	0.478000	0.478000	0.000000
coral31	incorrect	0.519000	0.519000	0.000000
coral32	unknown	0.503000	0.503000	0.000000
coral33	unknown	0.521000	0.521000	0.000000
coral34	unknown	0.520000	0.520000	0.000000
coral35	unknown	0.530000	0.530000	0.000000
coral36	unknown	0.466000	0.466000	0.000000
coral38	unknown	0.509000	0.509000	0.000000
coral39	incorrect	0.519000	0.519000	0.000000
coral4	unknown	0.495000	0.495000	0.000000
coral40	incorrect	0.507000	0.507000	0.000000
coral41	incorrect	0.511000	0.511000	0.000000
coral42	incorrect	0.524000	0.524000	0.000000
coral43	incorrect	0.505000	0.505000	0.000000
coral44	incorrect	0.496000	0.496000	0.000000
coral45	unknown	0.499000	0.499000	0.000000
coral46	unknown	0.519000	0.519000	0.000000
coral48	incorrect	0.545000	0.545000	0.000000
coral49	unknown	0.534000	0.534000	0.000000
coral5	correct	0.512000	0.512000	0.000000
coral50	unknown	0.502000	0.502000	0.000000
coral51	unknown	0.503000	0.503000	0.000000
coral52	unknown	0.508000	0.508000	0.000000
coral53	unknown	0.500000	0.500000	0.000000
coral54	unknown	0.503000	0.503000	0.000000
coral55	correct	0.502000	0.502000	0.000000
coral56	incorrect	0.517000	0.517000	0.000000
coral57	incorrect	0.497000	0.497000	0.000000
coral58	incorrect	0.507000	0.507000	0.000000
coral59	incorrect	0.513000	0.513000	0.000000
coral6	unknown	0.505000	0.505000	0.000000
coral60	incorrect	0.513000	0.513000	0.000000
coral61	incorrect	0.505000	0.505000	0.000000
coral62	incorrect	0.552000	0.552000	0.000000
coral63	incorrect	0.521000	0.521000	0.000000
coral64	incorrect	0.508000	0.508000	0.000000
coral65	incorrect	0.522000	0.522000	0.000000
coral66	incorrect	0.529000	0.529000	0.000000
coral67	incorrect	0.530000	0.530000	0.000000
coral68	incorrect	0.512000	0.512000	0.000000
coral69	incorrect	0.514000	0.514000	0.000000
coral71	unknown	0.518000	0.518000	0.000000
coral72	unknown	0.508000	0.508000	0.000000
coral73	unknown	0.509000	0.509000	0.000000
coral74	unknown	0.501000	0.501000	0.000000
coral75	unknown	0.522000	0.522000	0.000000
coral76	incorrect	0.503000	0.503000	0.000000
coral77	incorrect	0.492000	0.492000	0.000000
coral79	incorrect	0.517000	0.517000	0.000000
coral80	correct	0.512000	0.512000	0.000000
coral81	unknown	0.514000	0.514000	0.000000
coral84	unknown	0.520000	0.520000	0.000000
coral9	unknown	0.515000	0.515000	0.000000
coral91	correct	0.503000	0.503000	0.000000
