benchmark,expected,actual,time_s,result
Bessel,true,true,.50s,CORRECT
Conflict,true,true,.53s,CORRECT
EulerMethod,false,true,.67s,INCORRECT
MathSin,false,UNKNOWN,.46s,UNKNOWN
Optimization1,false,UNKNOWN,.52s,UNKNOWN
Optimization2,false,UNKNOWN,.51s,UNKNOWN
Optimization3,false,true,.54s,INCORRECT
Optimization4,false,UNKNOWN,.54s,UNKNOWN
Optimization5,false,UNKNOWN,.51s,UNKNOWN
Optimization6,false,UNKNOWN,.51s,UNKNOWN
PartitionEx,true,true,.50s,CORRECT
TurnLogic,true,true,.46s,CORRECT
coral1,false,UNKNOWN,.52s,UNKNOWN
coral10,false,UNKNOWN,.52s,UNKNOWN
coral11,false,UNKNOWN,.51s,UNKNOWN
coral12,false,UNKNOWN,.51s,UNKNOWN
coral13,false,UNKNOWN,.50s,UNKNOWN
coral14,false,UNKNOWN,.49s,UNKNOWN
coral15,false,UNKNOWN,.48s,UNKNOWN
coral16,false,true,.50s,INCORRECT
coral17,false,UNKNOWN,.52s,UNKNOWN
coral18,false,UNKNOWN,.50s,UNKNOWN
coral19,false,UNKNOWN,.49s,UNKNOWN
coral2,false,UNKNOWN,.50s,UNKNOWN
coral20,false,UNKNOWN,.50s,UNKNOWN
coral21,false,UNKNOWN,.49s,UNKNOWN
coral22,false,UNKNOWN,.50s,UNKNOWN
coral23,true,true,.49s,CORRECT
coral26,true,true,.50s,CORRECT
coral27,false,UNKNOWN,.50s,UNKNOWN
coral28,false,UNKNOWN,.50s,UNKNOWN
coral29,false,UNKNOWN,.53s,UNKNOWN
coral3,true,true,.50s,CORRECT
coral30,false,UNKNOWN,.46s,UNKNOWN
coral31,false,true,.49s,INCORRECT
coral32,false,UNKNOWN,.49s,UNKNOWN
coral33,false,UNKNOWN,.55s,UNKNOWN
coral34,false,UNKNOWN,.50s,UNKNOWN
coral35,false,UNKNOWN,.50s,UNKNOWN
coral36,false,UNKNOWN,.46s,UNKNOWN
coral38,false,UNKNOWN,.49s,UNKNOWN
coral39,false,true,.50s,INCORRECT
coral4,false,UNKNOWN,.49s,UNKNOWN
coral40,false,true,.52s,INCORRECT
coral41,false,true,.49s,INCORRECT
coral42,false,true,.50s,INCORRECT
coral43,false,true,.50s,INCORRECT
coral44,false,true,.50s,INCORRECT
coral45,false,UNKNOWN,.53s,UNKNOWN
coral46,true,UNKNOWN,.51s,UNKNOWN
coral48,false,true,.50s,INCORRECT
coral49,false,UNKNOWN,.50s,UNKNOWN
coral5,true,true,.48s,CORRECT
coral50,false,UNKNOWN,.50s,UNKNOWN
coral51,false,UNKNOWN,.48s,UNKNOWN
coral52,false,UNKNOWN,.49s,UNKNOWN
coral53,false,UNKNOWN,.49s,UNKNOWN
coral54,false,UNKNOWN,.50s,UNKNOWN
coral55,true,true,.50s,CORRECT
coral56,false,true,.50s,INCORRECT
coral57,false,true,.51s,INCORRECT
coral58,false,true,.49s,INCORRECT
coral59,false,true,.50s,INCORRECT
coral6,false,UNKNOWN,.50s,UNKNOWN
coral60,false,true,.50s,INCORRECT
coral61,false,true,.50s,INCORRECT
coral62,false,true,.52s,INCORRECT
coral63,false,true,.50s,INCORRECT
coral64,false,true,.50s,INCORRECT
coral65,false,true,.51s,INCORRECT
coral66,false,true,.50s,INCORRECT
coral67,false,true,.54s,INCORRECT
coral68,false,true,.51s,INCORRECT
coral69,false,true,.50s,INCORRECT
coral71,false,UNKNOWN,.49s,UNKNOWN
coral72,false,UNKNOWN,.50s,UNKNOWN
coral73,false,UNKNOWN,.49s,UNKNOWN
coral74,false,UNKNOWN,.49s,UNKNOWN
coral75,false,UNKNOWN,.50s,UNKNOWN
coral76,false,true,.51s,INCORRECT
coral77,false,true,.51s,INCORRECT
coral79,false,true,.49s,INCORRECT
coral80,true,true,.49s,CORRECT
coral81,false,UNKNOWN,.49s,UNKNOWN
coral84,false,UNKNOWN,.50s,UNKNOWN
coral9,false,UNKNOWN,.50s,UNKNOWN
coral91,true,true,.50s,CORRECT
