benchmark,expected,actual,time_s,result
Adjustable-Inner-Count-Halving,false,true,.56s,INCORRECT
Alternating-Step-Schedule,true,true,.53s,CORRECT
Batch-Conveyor-Counter,true,true,.56s,CORRECT
Bounded-Proportional-Update,true,true,.57s,CORRECT
Bounded-Reset-Linear-Growth,true,true,.56s,CORRECT
Clamped-Triangular-Drift,true,true,.57s,CORRECT
Cyclic-Preset-Inner-ABC,true,true,.59s,CORRECT
Fixed-Block-Accumulator,true,true,.57s,CORRECT
Hysteresis-On-Off-with-Deadband,false,false,.67s,CORRECT
Inner-Retry-Until-OK,true,true,.58s,CORRECT
Leak-and-Refill,true,true,.56s,CORRECT
Mixed-Phase-AddHalve-with-Slack-Box,true,true,.60s,CORRECT
Nested-Drain-Then-Step,true,true,.56s,CORRECT
Nested-MinStep-Regulator,true,true,.59s,CORRECT
Nested-PingPong-with-Caps,true,true,.59s,CORRECT
Nested-Saturation-Then-Reset,true,true,.56s,CORRECT
Nested-Windowed-Add-Remove,true,true,.58s,CORRECT
Producer-Consumer-Level,true,true,.58s,CORRECT
Ramp-and-Hold,true,true,.57s,CORRECT
Safe-Accumulator-with-Bounded-Noise,true,true,1.18s,CORRECT
Saturating-Integrator,true,true,.56s,CORRECT
Slew-Rate-Limiter,true,true,.58s,CORRECT
Switched-Linear-Plant,true,true,.56s,CORRECT
Two-Band-Piecewise-Linear-Oscillator,true,true,.58s,CORRECT
Two-Counter-Lexicographic-Small,true,true,.56s,CORRECT
Two-Level-Nested-Scheduler,true,true,.58s,CORRECT
Two-State-FP-Oscillator,true,true,.56s,CORRECT
Two-Var-Nested-Handshake,true,true,.56s,CORRECT
Two-Variable_Averaging_Filter,true,true,.60s,CORRECT
Unbounded-Outer-Inner-Safety-Gate,true,true,.58s,CORRECT
