tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jdart-regression	jdart-regression	jdart-regression	jdart-regression
results/jdart-regression/	status	cputime (s)	walltime (s)	memory (MB)
OverapproximationString01	correct	0.592000	0.592000	0.000000
URLDecoder01	unknown	0.461000	0.461000	0.000000
URLDecoder02	unknown	0.458000	0.458000	0.000000
addition01	incorrect	0.636000	0.636000	0.000000
array-iteration01	unknown	0.756000	0.756000	0.000000
boundcheck100	correct	1.462000	1.462000	0.000000
boundcheck200	correct	2.560000	2.560000	0.000000
boundcheck30	correct	0.869000	0.869000	0.000000
double2long	incorrect	0.498000	0.498000	0.000000
float	incorrect	0.608000	0.608000	0.000000
list2	correct	41.250000	41.250000	0.000000
radians	incorrect	0.523000	0.523000	0.000000
shifting	correct	0.599000	0.599000	0.000000
shifting2	correct	0.586000	0.586000	0.000000
shifting3	correct	0.597000	0.597000	0.000000
startswith	correct	0.630000	0.630000	0.000000
