tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	jpf-regression	jpf-regression	jpf-regression	jpf-regression
results/jpf-regression/	status	cputime (s)	walltime (s)	memory (MB)
ExDarko_false	correct	0.624000	0.624000	0.000000
ExDarko_true	correct	0.518000	0.518000	0.000000
ExException_false	correct	0.585000	0.585000	0.000000
ExException_true	correct	0.495000	0.495000	0.000000
ExGenSymExe_false	correct	0.449000	0.449000	0.000000
ExGenSymExe_true	correct	0.453000	0.453000	0.000000
ExLazy_false	correct	0.601000	0.601000	0.000000
ExLazy_true	correct	0.507000	0.507000	0.000000
ExMIT_false	correct	0.592000	0.592000	0.000000
ExMIT_true	correct	0.494000	0.494000	0.000000
ExSymExe10_false	correct	0.608000	0.608000	0.000000
ExSymExe10_true	correct	0.502000	0.502000	0.000000
ExSymExe11_false	correct	0.678000	0.678000	0.000000
ExSymExe11_true	correct	0.516000	0.516000	0.000000
ExSymExe12_false	correct	0.596000	0.596000	0.000000
ExSymExe12_true	correct	0.518000	0.518000	0.000000
ExSymExe13_false	correct	0.606000	0.606000	0.000000
ExSymExe13_true	correct	0.520000	0.520000	0.000000
ExSymExe14_false	correct	0.603000	0.603000	0.000000
ExSymExe14_true	correct	0.512000	0.512000	0.000000
ExSymExe15_false	correct	0.596000	0.596000	0.000000
ExSymExe15_true	correct	0.512000	0.512000	0.000000
ExSymExe16_false	correct	0.459000	0.459000	0.000000
ExSymExe16_true	correct	0.445000	0.445000	0.000000
ExSymExe17_false	correct	0.453000	0.453000	0.000000
ExSymExe17_true	correct	0.452000	0.452000	0.000000
ExSymExe18_false	correct	0.514000	0.514000	0.000000
ExSymExe18_true	correct	0.435000	0.435000	0.000000
ExSymExe19_false	correct	0.609000	0.609000	0.000000
ExSymExe19_true	correct	1.614000	1.614000	0.000000
ExSymExe1_false	correct	0.933000	0.933000	0.000000
ExSymExe1_true	correct	0.447000	0.447000	0.000000
ExSymExe20_false	correct	9.400000	9.400000	0.000000
ExSymExe20_true	correct	0.438000	0.438000	0.000000
ExSymExe21_false	correct	0.935000	0.935000	0.000000
ExSymExe21_true	correct	0.435000	0.435000	0.000000
ExSymExe25_false	correct	0.591000	0.591000	0.000000
ExSymExe25_true	correct	0.443000	0.443000	0.000000
ExSymExe26_false	correct	1.096000	1.096000	0.000000
ExSymExe26_true	correct	0.455000	0.455000	0.000000
ExSymExe27_false	correct	0.590000	0.590000	0.000000
ExSymExe27_true	correct	0.451000	0.451000	0.000000
ExSymExe28_false	correct	0.592000	0.592000	0.000000
ExSymExe28_true	correct	0.449000	0.449000	0.000000
ExSymExe29_false	correct	1.517000	1.517000	0.000000
ExSymExe29_true	correct	0.453000	0.453000	0.000000
ExSymExe2_false	correct	0.949000	0.949000	0.000000
ExSymExe2_true	correct	0.449000	0.449000	0.000000
ExSymExe3_false	correct	0.604000	0.604000	0.000000
ExSymExe3_true	correct	0.447000	0.447000	0.000000
ExSymExe4_false	correct	1.355000	1.355000	0.000000
ExSymExe4_true	correct	0.449000	0.449000	0.000000
ExSymExe5_false	correct	0.582000	0.582000	0.000000
ExSymExe5_true	correct	0.447000	0.447000	0.000000
ExSymExe6_false	correct	0.518000	0.518000	0.000000
ExSymExe6_true	correct	0.463000	0.463000	0.000000
ExSymExe7_false	correct	0.798000	0.798000	0.000000
ExSymExe7_true	correct	0.650000	0.650000	0.000000
ExSymExe8_false	correct	0.939000	0.939000	0.000000
ExSymExe8_true	correct	0.454000	0.454000	0.000000
ExSymExe9_false	correct	0.458000	0.458000	0.000000
ExSymExe9_true	correct	0.450000	0.450000	0.000000
ExSymExeArrays_false	correct	0.466000	0.466000	0.000000
ExSymExeArrays_true	correct	0.435000	0.435000	0.000000
ExSymExeBool_false	correct	0.450000	0.450000	0.000000
ExSymExeBool_true	correct	0.450000	0.450000	0.000000
ExSymExeComplexMath_false	correct	0.451000	0.451000	0.000000
ExSymExeComplexMath_true	correct	0.456000	0.456000	0.000000
ExSymExeD2I_false	correct	0.455000	0.455000	0.000000
ExSymExeD2I_true	correct	0.497000	0.497000	0.000000
ExSymExeD2L_false	incorrect	0.501000	0.501000	0.000000
ExSymExeD2L_true	correct	0.505000	0.505000	0.000000
ExSymExeF2I_false	correct	0.457000	0.457000	0.000000
ExSymExeF2I_true	correct	0.525000	0.525000	0.000000
ExSymExeF2L_false	incorrect	0.508000	0.508000	0.000000
ExSymExeF2L_true	correct	0.506000	0.506000	0.000000
ExSymExeFNEG_false	incorrect	0.545000	0.545000	0.000000
ExSymExeFNEG_true	correct	0.495000	0.495000	0.000000
ExSymExeGetStatic_false	correct	0.462000	0.462000	0.000000
ExSymExeGetStatic_true	correct	0.454000	0.454000	0.000000
ExSymExeI2D_false	incorrect	0.511000	0.511000	0.000000
ExSymExeI2D_true	correct	0.647000	0.647000	0.000000
ExSymExeI2F_false	correct	0.458000	0.458000	0.000000
ExSymExeI2F_true	correct	0.497000	0.497000	0.000000
ExSymExeLCMP_false	correct	0.603000	0.603000	0.000000
ExSymExeLCMP_true	correct	0.516000	0.516000	0.000000
ExSymExeLongBytecodes_false	correct	0.602000	0.602000	0.000000
ExSymExeLongBytecodes_true	correct	0.528000	0.528000	0.000000
ExSymExeResearch_false	correct	0.606000	0.606000	0.000000
ExSymExeResearch_true	correct	0.550000	0.550000	0.000000
ExSymExeSimple_false	correct	0.516000	0.516000	0.000000
ExSymExeSimple_true	correct	0.507000	0.507000	0.000000
ExSymExeSuzette_false	correct	0.634000	0.634000	0.000000
ExSymExeSuzette_true	correct	0.508000	0.508000	0.000000
ExSymExeSwitch_false	correct	0.593000	0.593000	0.000000
ExSymExeSwitch_true	correct	0.524000	0.524000	0.000000
ExSymExeTestAssignments_false	correct	0.600000	0.600000	0.000000
ExSymExeTestAssignments_true	correct	0.515000	0.515000	0.000000
ExSymExeTestClassFields_false	correct	0.603000	0.603000	0.000000
