tool	JPF HEAD@ade8889	JPF HEAD@ade8889	JPF HEAD@ade8889
run set	jpf-regression	jpf-regression	jpf-regression
results/jpf-regression/	status	cputime (s)	walltime (s)
ExDarko_false	incorrect	2.224055	2.224055
ExDarko_true	incorrect	1.223777	1.223777
ExException_false	incorrect	1.891271	1.891271
ExException_true	incorrect	1.378346	1.378346
ExGenSymExe_false	incorrect	1.066272	1.066272
ExGenSymExe_true	incorrect	1.268409	1.268409
ExLazy_false	incorrect	1.861297	1.861297
ExLazy_true	incorrect	1.455361	1.455361
ExMIT_false	incorrect	1.591691	1.591691
ExMIT_true	incorrect	1.121443	1.121443
ExSymExe10_false	incorrect	1.564343	1.564343
ExSymExe10_true	incorrect	1.319583	1.319583
ExSymExe11_false	incorrect	0.894235	0.894235
ExSymExe11_true	incorrect	0.981067	0.981067
ExSymExe12_false	incorrect	1.467146	1.467146
ExSymExe12_true	incorrect	1.012799	1.012799
ExSymExe13_false	incorrect	1.645964	1.645964
ExSymExe13_true	incorrect	1.364720	1.364720
ExSymExe14_false	incorrect	1.442436	1.442436
ExSymExe14_true	incorrect	1.067410	1.067410
ExSymExe15_false	incorrect	1.248377	1.248377
ExSymExe15_true	incorrect	1.420177	1.420177
ExSymExe16_false	incorrect	0.891845	0.891845
ExSymExe16_true	incorrect	0.995593	0.995593
ExSymExe17_false	incorrect	1.264528	1.264528
ExSymExe17_true	incorrect	1.428980	1.428980
ExSymExe18_false	incorrect	1.307215	1.307215
ExSymExe18_true	incorrect	1.473572	1.473572
ExSymExe19_false	incorrect	1.504533	1.504533
ExSymExe19_true	incorrect	4.599290	4.599290
ExSymExe1_false	incorrect	2.430473	2.430473
ExSymExe1_true	incorrect	1.153230	1.153230
ExSymExe20_false	incorrect	29.150372	29.150372
ExSymExe20_true	incorrect	0.951444	0.951444
ExSymExe21_false	incorrect	2.223216	2.223216
ExSymExe21_true	incorrect	0.950330	0.950330
ExSymExe25_false	incorrect	1.404184	1.404184
ExSymExe25_true	incorrect	0.996899	0.996899
ExSymExe26_false	incorrect	2.636688	2.636688
ExSymExe26_true	incorrect	1.095159	1.095159
ExSymExe27_false	incorrect	1.440097	1.440097
ExSymExe27_true	incorrect	1.172888	1.172888
ExSymExe28_false	incorrect	1.570933	1.570933
ExSymExe28_true	incorrect	1.039140	1.039140
ExSymExe29_false	incorrect	4.107557	4.107557
ExSymExe29_true	incorrect	1.215160	1.215160
ExSymExe2_false	incorrect	2.407446	2.407446
ExSymExe2_true	incorrect	1.829972	1.829972
ExSymExe3_false	incorrect	1.839664	1.839664
ExSymExe3_true	incorrect	1.009036	1.009036
ExSymExe4_false	incorrect	3.864262	3.864262
ExSymExe4_true	incorrect	0.935949	0.935949
ExSymExe5_false	incorrect	1.985644	1.985644
ExSymExe5_true	incorrect	2.058193	2.058193
ExSymExe6_false	incorrect	1.980536	1.980536
ExSymExe6_true	incorrect	1.450328	1.450328
ExSymExe7_false	incorrect	2.234299	2.234299
ExSymExe7_true	incorrect	1.880365	1.880365
ExSymExe8_false	incorrect	2.775652	2.775652
ExSymExe8_true	incorrect	1.376881	1.376881
ExSymExe9_false	incorrect	1.191208	1.191208
ExSymExe9_true	incorrect	1.423837	1.423837
ExSymExeArrays_false	incorrect	1.400281	1.400281
ExSymExeArrays_true	incorrect	1.446442	1.446442
ExSymExeBool_false	incorrect	1.343987	1.343987
ExSymExeBool_true	incorrect	1.373167	1.373167
ExSymExeComplexMath_false	incorrect	1.423362	1.423362
ExSymExeComplexMath_true	incorrect	1.470389	1.470389
ExSymExeD2I_false	incorrect	1.319387	1.319387
ExSymExeD2I_true	incorrect	1.467600	1.467600
ExSymExeD2L_false	incorrect	1.374122	1.374122
ExSymExeD2L_true	incorrect	1.359205	1.359205
ExSymExeF2I_false	incorrect	1.284305	1.284305
ExSymExeF2I_true	incorrect	1.673884	1.673884
ExSymExeF2L_false	incorrect	1.477294	1.477294
ExSymExeF2L_true	incorrect	1.597498	1.597498
ExSymExeFNEG_false	incorrect	1.714348	1.714348
ExSymExeFNEG_true	incorrect	1.372770	1.372770
ExSymExeGetStatic_false	incorrect	1.243990	1.243990
ExSymExeGetStatic_true	incorrect	1.077455	1.077455
ExSymExeI2D_false	incorrect	1.761617	1.761617
ExSymExeI2D_true	incorrect	1.812621	1.812621
ExSymExeI2F_false	incorrect	1.992771	1.992771
ExSymExeI2F_true	incorrect	2.160993	2.160993
ExSymExeLCMP_false	incorrect	2.071730	2.071730
ExSymExeLCMP_true	incorrect	2.183083	2.183083
ExSymExeLongBytecodes_false	incorrect	1.653121	1.653121
ExSymExeLongBytecodes_true	incorrect	1.380901	1.380901
ExSymExeResearch_false	incorrect	1.548099	1.548099
ExSymExeResearch_true	incorrect	1.401384	1.401384
ExSymExeSimple_false	incorrect	1.425022	1.425022
ExSymExeSimple_true	incorrect	1.402413	1.402413
ExSymExeSuzette_false	incorrect	1.370488	1.370488
ExSymExeSuzette_true	incorrect	1.335273	1.335273
ExSymExeSwitch_false	incorrect	1.566163	1.566163
ExSymExeSwitch_true	incorrect	1.177508	1.177508
ExSymExeTestAssignments_false	incorrect	1.597510	1.597510
ExSymExeTestAssignments_true	incorrect	1.225149	1.225149
ExSymExeTestClassFields_false	incorrect	1.349112	1.349112
ExSymExeTestClassFields_true	incorrect	1.230942	1.230942
ExSymExe_false	incorrect	1.131479	1.131479
ExSymExe_true	incorrect	1.061148	1.061148
TestLazy_false	incorrect	1.484457	1.484457
TestLazy_true	incorrect	1.254119	1.254119
