benchmark,expected,actual,time_s,result
ExDarko_false,false,false,.55s,CORRECT
ExDarko_true,true,true,.46s,CORRECT
ExException_false,false,false,.50s,CORRECT
ExException_true,true,true,.42s,CORRECT
ExGenSymExe_false,false,false,.38s,CORRECT
ExGenSymExe_true,true,true,.40s,CORRECT
ExLazy_false,false,false,.49s,CORRECT
ExLazy_true,true,true,.43s,CORRECT
ExMIT_false,false,false,.50s,CORRECT
ExMIT_true,true,true,.43s,CORRECT
ExSymExe10_false,false,false,.51s,CORRECT
ExSymExe10_true,true,true,.44s,CORRECT
ExSymExe11_false,false,false,.38s,CORRECT
ExSymExe11_true,true,true,.50s,CORRECT
ExSymExe12_false,false,false,.50s,CORRECT
ExSymExe12_true,true,true,.44s,CORRECT
ExSymExe13_false,false,false,.50s,CORRECT
ExSymExe13_true,true,true,.42s,CORRECT
ExSymExe14_false,false,false,.50s,CORRECT
ExSymExe14_true,true,true,.42s,CORRECT
ExSymExe15_false,false,false,.49s,CORRECT
ExSymExe15_true,true,true,.41s,CORRECT
ExSymExe16_false,false,false,.36s,CORRECT
ExSymExe16_true,true,true,.43s,CORRECT
ExSymExe17_false,false,false,.78s,CORRECT
ExSymExe17_true,true,true,.39s,CORRECT
ExSymExe18_false,false,false,.90s,CORRECT
ExSymExe18_true,true,true,1.45s,CORRECT
ExSymExe19_false,false,false,.53s,CORRECT
ExSymExe19_true,true,true,1.47s,CORRECT
ExSymExe1_false,false,false,.79s,CORRECT
ExSymExe1_true,true,true,.37s,CORRECT
ExSymExe20_false,false,false,8.80s,CORRECT
ExSymExe20_true,true,true,.37s,CORRECT
ExSymExe21_false,false,false,.86s,CORRECT
ExSymExe21_true,true,true,.37s,CORRECT
ExSymExe25_false,false,false,.53s,CORRECT
ExSymExe25_true,true,true,.38s,CORRECT
ExSymExe26_false,false,false,.96s,CORRECT
ExSymExe26_true,true,true,.38s,CORRECT
ExSymExe27_false,false,false,.49s,CORRECT
ExSymExe27_true,true,true,.37s,CORRECT
ExSymExe28_false,false,false,.52s,CORRECT
ExSymExe28_true,true,true,.37s,CORRECT
ExSymExe29_false,false,false,1.36s,CORRECT
ExSymExe29_true,true,true,.38s,CORRECT
ExSymExe2_false,false,false,.82s,CORRECT
ExSymExe2_true,true,true,.38s,CORRECT
ExSymExe3_false,false,false,.49s,CORRECT
ExSymExe3_true,true,true,.38s,CORRECT
ExSymExe4_false,false,false,1.26s,CORRECT
ExSymExe4_true,true,true,.38s,CORRECT
ExSymExe5_false,false,false,.50s,CORRECT
ExSymExe5_true,true,true,.38s,CORRECT
ExSymExe6_false,false,false,.44s,CORRECT
ExSymExe6_true,true,true,.38s,CORRECT
ExSymExe7_false,false,false,.69s,CORRECT
ExSymExe7_true,true,true,.56s,CORRECT
ExSymExe8_false,false,false,.86s,CORRECT
ExSymExe8_true,true,true,.37s,CORRECT
ExSymExe9_false,false,false,.39s,CORRECT
ExSymExe9_true,true,true,.39s,CORRECT
ExSymExeArrays_false,false,false,.38s,CORRECT
ExSymExeArrays_true,true,true,.38s,CORRECT
ExSymExeBool_false,false,false,.38s,CORRECT
ExSymExeBool_true,true,true,.38s,CORRECT
ExSymExeComplexMath_false,false,false,.39s,CORRECT
ExSymExeComplexMath_true,true,true,.41s,CORRECT
ExSymExeD2I_false,false,false,.37s,CORRECT
ExSymExeD2I_true,true,true,.42s,CORRECT
ExSymExeD2L_false,false,true,.45s,INCORRECT
ExSymExeD2L_true,true,true,.42s,CORRECT
ExSymExeF2I_false,false,false,.38s,CORRECT
ExSymExeF2I_true,true,true,.41s,CORRECT
ExSymExeF2L_false,false,true,.41s,INCORRECT
ExSymExeF2L_true,true,true,.42s,CORRECT
ExSymExeFNEG_false,false,true,.41s,INCORRECT
ExSymExeFNEG_true,true,true,.44s,CORRECT
ExSymExeGetStatic_false,false,false,.37s,CORRECT
ExSymExeGetStatic_true,true,true,.38s,CORRECT
ExSymExeI2D_false,false,true,.43s,INCORRECT
ExSymExeI2D_true,true,true,.54s,CORRECT
ExSymExeI2F_false,false,false,.37s,CORRECT
ExSymExeI2F_true,true,true,.41s,CORRECT
ExSymExeLCMP_false,false,false,.50s,CORRECT
ExSymExeLCMP_true,true,true,.56s,CORRECT
ExSymExeLongBytecodes_false,false,false,.50s,CORRECT
ExSymExeLongBytecodes_true,true,true,.46s,CORRECT
ExSymExeResearch_false,false,false,.52s,CORRECT
ExSymExeResearch_true,true,true,.47s,CORRECT
ExSymExeSimple_false,false,false,.44s,CORRECT
ExSymExeSimple_true,true,true,.43s,CORRECT
ExSymExeSuzette_false,false,false,.52s,CORRECT
ExSymExeSuzette_true,true,true,.42s,CORRECT
ExSymExeSwitch_false,false,false,.51s,CORRECT
ExSymExeSwitch_true,true,true,.45s,CORRECT
ExSymExeTestAssignments_false,false,false,.51s,CORRECT
ExSymExeTestAssignments_true,true,true,.43s,CORRECT
ExSymExeTestClassFields_false,false,false,.50s,CORRECT
ExSymExeTestClassFields_true,true,true,.43s,CORRECT
ExSymExe_false,false,false,.37s,CORRECT
ExSymExe_true,true,true,.38s,CORRECT
TestLazy_false,false,false,.51s,CORRECT
TestLazy_true,true,true,.42s,CORRECT
