benchmark,expected,actual,time_s,result
Aliasing1,false,false,.64s,CORRECT
Aliasing2,true,true,.48s,CORRECT
Aliasing3,true,true,.50s,CORRECT
Aliasing4,false,false,.68s,CORRECT
Aliasing5,false,false,.66s,CORRECT
Aliasing6,false,false,.84s,CORRECT
Arrays1,false,false,.67s,CORRECT
Arrays10,false,UNKNOWN,.65s,UNKNOWN
Arrays2,false,false,.65s,CORRECT
Arrays3,false,false,.63s,CORRECT
Arrays4,false,false,.64s,CORRECT
Arrays5,true,true,.50s,CORRECT
Arrays6,false,false,.65s,CORRECT
Arrays7,false,false,.64s,CORRECT
Arrays8,false,false,.65s,CORRECT
Arrays9,false,false,.65s,CORRECT
Basic1,false,false,.64s,CORRECT
Basic10,false,false,.66s,CORRECT
Basic11,false,false,.50s,CORRECT
Basic12,false,false,.69s,CORRECT
Basic15,false,false,.65s,CORRECT
Basic16,false,false,.64s,CORRECT
Basic17,false,false,.67s,CORRECT
Basic18,false,false,.92s,CORRECT
Basic19,false,false,.68s,CORRECT
Basic2,false,false,.67s,CORRECT
Basic20,false,false,.63s,CORRECT
Basic21,false,UNKNOWN,.65s,UNKNOWN
Basic24,false,UNKNOWN,.63s,UNKNOWN
Basic25,false,UNKNOWN,.65s,UNKNOWN
Basic26,false,false,.68s,CORRECT
Basic27,false,false,.68s,CORRECT
Basic28,true,true,.50s,CORRECT
Basic29,false,false,.69s,CORRECT
Basic3,false,false,.50s,CORRECT
Basic30,false,false,.67s,CORRECT
Basic31,false,false,1.02s,CORRECT
Basic32,false,false,.66s,CORRECT
Basic33,false,false,.70s,CORRECT
Basic34,false,false,.72s,CORRECT
Basic35,false,false,.94s,CORRECT
Basic37,false,true,32.87s,INCORRECT
Basic38,false,true,32.43s,INCORRECT
Basic39,false,true,33.45s,INCORRECT
Basic4,false,false,.71s,CORRECT
Basic5,false,false,.49s,CORRECT
Basic6,true,false,.48s,INCORRECT
Basic7,false,false,.50s,CORRECT
Basic8,true,true,.50s,CORRECT
Basic9,false,false,.71s,CORRECT
Collections1,false,false,.69s,CORRECT
Collections10,false,false,.73s,CORRECT
Collections12,false,false,.66s,CORRECT
Collections13,false,false,.71s,CORRECT
Collections14,false,false,1.16s,CORRECT
Collections2,false,false,.68s,CORRECT
Collections3,false,false,.67s,CORRECT
Collections4,false,false,.69s,CORRECT
Collections5,false,false,.70s,CORRECT
Collections6,false,false,.67s,CORRECT
Collections7,false,false,.68s,CORRECT
Collections8,true,true,.52s,CORRECT
Collections9,true,UNKNOWN,.68s,UNKNOWN
Datastructures1,false,false,.70s,CORRECT
Datastructures2,false,false,.70s,CORRECT
Datastructures3,false,false,.65s,CORRECT
Datastructures4,true,true,.49s,CORRECT
Datastructures5,false,false,.50s,CORRECT
Datastructures6,false,false,1.28s,CORRECT
Factories1,false,false,.52s,CORRECT
Factories2,false,false,.66s,CORRECT
Factories3,false,false,.70s,CORRECT
Inter1,false,false,.68s,CORRECT
Inter10,false,false,.50s,CORRECT
Inter11,false,false,.49s,CORRECT
Inter12,false,false,.69s,CORRECT
Inter13,false,false,.81s,CORRECT
Inter14,false,false,1.03s,CORRECT
Inter2,false,false,.74s,CORRECT
Inter3,false,false,.92s,CORRECT
Inter4,false,false,.67s,CORRECT
Inter5,false,false,.51s,CORRECT
Inter6,false,false,.68s,CORRECT
Inter7,false,false,.69s,CORRECT
Inter8,false,false,.67s,CORRECT
Inter9,false,false,.50s,CORRECT
Pred1,true,true,.51s,CORRECT
Pred2,false,false,.70s,CORRECT
Pred3,true,true,.57s,CORRECT
Pred4,false,false,.65s,CORRECT
Pred5,false,false,.67s,CORRECT
Pred6,true,true,.49s,CORRECT
Pred7,true,true,.50s,CORRECT
Pred8,false,false,.70s,CORRECT
Pred9,true,true,.66s,CORRECT
Refl1,false,false,.67s,CORRECT
Refl2,false,UNKNOWN,.51s,UNKNOWN
Refl3,false,false,.68s,CORRECT
Refl4,false,false,.69s,CORRECT
Sanitizers1,false,UNKNOWN,4.59s,UNKNOWN
Sanitizers2,true,UNKNOWN,3.72s,UNKNOWN
Sanitizers3,true,UNKNOWN,.64s,UNKNOWN
Sanitizers4,false,timeout,60,TIMEOUT
Sanitizers5,false,UNKNOWN,.62s,UNKNOWN
Sanitizers6,true,UNKNOWN,5.07s,UNKNOWN
Session1,false,false,.67s,CORRECT
Session2,false,false,.71s,CORRECT
Session3,false,false,.66s,CORRECT
StrongUpdates1,true,true,.51s,CORRECT
StrongUpdates2,true,true,.48s,CORRECT
StrongUpdates3,true,true,.50s,CORRECT
StrongUpdates4,true,true,.50s,CORRECT
StrongUpdates5,true,UNKNOWN,.48s,UNKNOWN
