tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	securibench	securibench	securibench	securibench
results/securibench/	status	cputime (s)	walltime (s)	memory (MB)
Aliasing1	correct	0.660000	0.660000	0.000000
Aliasing2	correct	0.485000	0.485000	0.000000
Aliasing3	correct	0.500000	0.500000	0.000000
Aliasing4	correct	0.690000	0.690000	0.000000
Aliasing5	correct	0.666000	0.666000	0.000000
Aliasing6	correct	0.854000	0.854000	0.000000
Arrays1	correct	0.648000	0.648000	0.000000
Arrays10	unknown	0.667000	0.667000	0.000000
Arrays2	correct	0.652000	0.652000	0.000000
Arrays3	correct	0.649000	0.649000	0.000000
Arrays4	correct	0.656000	0.656000	0.000000
Arrays5	correct	0.486000	0.486000	0.000000
Arrays6	correct	0.651000	0.651000	0.000000
Arrays7	correct	0.658000	0.658000	0.000000
Arrays8	correct	0.670000	0.670000	0.000000
Arrays9	correct	0.662000	0.662000	0.000000
Basic1	correct	0.665000	0.665000	0.000000
Basic10	correct	0.668000	0.668000	0.000000
Basic11	correct	0.504000	0.504000	0.000000
Basic12	correct	0.699000	0.699000	0.000000
Basic15	correct	0.666000	0.666000	0.000000
Basic16	correct	0.679000	0.679000	0.000000
Basic17	correct	0.672000	0.672000	0.000000
Basic18	correct	0.931000	0.931000	0.000000
Basic19	correct	0.644000	0.644000	0.000000
Basic2	correct	0.694000	0.694000	0.000000
Basic20	correct	0.644000	0.644000	0.000000
Basic21	unknown	0.644000	0.644000	0.000000
Basic24	unknown	0.640000	0.640000	0.000000
Basic25	unknown	0.646000	0.646000	0.000000
Basic26	correct	0.683000	0.683000	0.000000
Basic27	correct	0.660000	0.660000	0.000000
Basic28	correct	0.501000	0.501000	0.000000
Basic29	correct	0.694000	0.694000	0.000000
Basic3	correct	0.497000	0.497000	0.000000
Basic30	correct	0.647000	0.647000	0.000000
Basic31	correct	0.662000	0.662000	0.000000
Basic32	correct	0.665000	0.665000	0.000000
Basic33	correct	0.711000	0.711000	0.000000
Basic34	correct	0.708000	0.708000	0.000000
Basic35	correct	0.957000	0.957000	0.000000
Basic37	incorrect	33.527000	33.527000	0.000000
Basic38	incorrect	34.261000	34.261000	0.000000
Basic39	incorrect	32.923000	32.923000	0.000000
Basic4	correct	0.677000	0.677000	0.000000
Basic5	correct	0.480000	0.480000	0.000000
Basic6	incorrect	0.483000	0.483000	0.000000
Basic7	correct	0.502000	0.502000	0.000000
Basic8	correct	0.500000	0.500000	0.000000
Basic9	correct	0.699000	0.699000	0.000000
Collections1	correct	0.680000	0.680000	0.000000
Collections10	correct	0.700000	0.700000	0.000000
Collections12	correct	0.653000	0.653000	0.000000
Collections13	correct	0.728000	0.728000	0.000000
Collections14	correct	1.111000	1.111000	0.000000
Collections2	correct	0.659000	0.659000	0.000000
Collections3	correct	0.658000	0.658000	0.000000
Collections4	correct	0.663000	0.663000	0.000000
Collections5	correct	0.689000	0.689000	0.000000
Collections6	correct	0.656000	0.656000	0.000000
Collections7	correct	0.665000	0.665000	0.000000
Collections8	correct	0.503000	0.503000	0.000000
Collections9	unknown	0.676000	0.676000	0.000000
Datastructures1	correct	0.688000	0.688000	0.000000
Datastructures2	correct	0.673000	0.673000	0.000000
Datastructures3	correct	0.657000	0.657000	0.000000
Datastructures4	correct	0.497000	0.497000	0.000000
Datastructures5	correct	0.495000	0.495000	0.000000
Datastructures6	correct	1.364000	1.364000	0.000000
Factories1	correct	0.500000	0.500000	0.000000
Factories2	correct	0.644000	0.644000	0.000000
Factories3	correct	0.665000	0.665000	0.000000
Inter1	correct	0.653000	0.653000	0.000000
Inter10	correct	0.491000	0.491000	0.000000
Inter11	correct	0.490000	0.490000	0.000000
Inter12	correct	0.671000	0.671000	0.000000
Inter13	correct	0.766000	0.766000	0.000000
Inter14	correct	1.027000	1.027000	0.000000
Inter2	correct	0.718000	0.718000	0.000000
Inter3	correct	0.907000	0.907000	0.000000
Inter4	correct	0.666000	0.666000	0.000000
Inter5	correct	0.516000	0.516000	0.000000
Inter6	correct	0.669000	0.669000	0.000000
Inter7	correct	0.682000	0.682000	0.000000
Inter8	correct	0.681000	0.681000	0.000000
Inter9	correct	0.502000	0.502000	0.000000
Pred1	correct	0.505000	0.505000	0.000000
Pred2	correct	0.716000	0.716000	0.000000
Pred3	correct	0.576000	0.576000	0.000000
Pred4	correct	0.665000	0.665000	0.000000
Pred5	correct	0.657000	0.657000	0.000000
Pred6	correct	0.499000	0.499000	0.000000
Pred7	correct	0.508000	0.508000	0.000000
Pred8	correct	0.687000	0.687000	0.000000
Pred9	correct	0.670000	0.670000	0.000000
Refl1	correct	0.681000	0.681000	0.000000
Refl2	unknown	0.498000	0.498000	0.000000
Refl3	correct	0.661000	0.661000	0.000000
Refl4	correct	0.667000	0.667000	0.000000
Sanitizers1	unknown	4.514000	4.514000	0.000000
Sanitizers2	unknown	3.754000	3.754000	0.000000
Sanitizers3	unknown	0.648000	0.648000	0.000000
Sanitizers4	unknown	60.000000	60.000000	0.000000
Sanitizers5	unknown	0.645000	0.645000	0.000000
Sanitizers6	unknown	5.169000	5.169000	0.000000
Session1	correct	0.673000	0.673000	0.000000
Session2	correct	0.675000	0.675000	0.000000
Session3	correct	0.670000	0.670000	0.000000
StrongUpdates1	correct	0.511000	0.511000	0.000000
StrongUpdates2	correct	0.496000	0.496000	0.000000
StrongUpdates3	correct	0.502000	0.502000	0.000000
StrongUpdates4	correct	0.509000	0.509000	0.000000
StrongUpdates5	unknown	0.484000	0.484000	0.000000
